	2011	2012	2013	2014	2015	2016	2017
전국	3.6	2.3	3.1	3.1	2.8	2.9	3.1
서울	3.2	1.4	1.6	1.5	2.9	2.8	2.3
부산	2.5	2.6	1.7	4.2	3	1.7	1.6
대구	3.5	3.7	3.5	2.6	3	0	1.7
인천	1.8	3.7	2.7	4.8	1.8	2.6	4.3
광주	1.8	2.1	3.8	4	2	3.1	1.3
대전	3.6	1.5	1.1	2	3	3.5	0.8
울산	7.9	0.6	0.5	0.1	0.6	0.9	-0.7
세종	-	-	-	25.5	7.3	5.1	4.2
경기	4.3	4.5	5.7	4.5	5.5	4.7	6.6
강원	2.4	2	3.2	4.9	2	2.9	4.1
충북	5.9	3.4	3.9	4.2	7	5.8	6.1
충남	7	0.7	-1.8	2.9	1.1	3.2	5.4
전북	3.9	1	4.4	2	1	-0.8	1.9
전남	-1.4	0.7	1.9	0	0.7	2.3	1.3
경북	2.6	0.8	3.8	7.1	-2.6	2.5	-1.2
경남	3	2.6	0.5	0.4	1.7	0.7	-0.7
제주	6.9	6.3	4.9	6.9	7.4	8	4.6
