년도,서울_신고금액(단위:백만불),서울_도착금액(단위:백만불),인천_신고금액(단위:백만불),인천_도착금액(단위:백만불),경기_신고금액(단위:백만불),경기_도착금액(단위:백만불),부산_신고금액(단위:백만불),부산_도착금액(단위:백만불),대구_신고금액(단위:백만불),대구_도착금액(단위:백만불),광주_신고금액(단위:백만불),광주_도착금액(단위:백만불),대전_신고금액(단위:백만불),대전_도착금액(단위:백만불),울산_신고금액(단위:백만불),울산_도착금액(단위:백만불),세종_신고금액(단위:백만불),세종_도착금액(단위:백만불),강원_신고금액(단위:백만불),강원_도착금액(단위:백만불),충북_신고금액(단위:백만불),충북_도착금액(단위:백만불),충남_신고금액(단위:백만불),충남_도착금액(단위:백만불),전북_신고금액(단위:백만불),전북_도착금액(단위:백만불),전남_신고금액(단위:백만불),전남_도착금액(단위:백만불),경북_신고금액(단위:백만불),경북_도착금액(단위:백만불),경남_신고금액(단위:백만불),경남_도착금액(단위:백만불),제주_신고금액(단위:백만불),제주_도착금액(단위:백만불),미정_신고금액(단위:백만불),미정_도착금액(단위:백만불)
1962,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3
1963,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0
1966,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
1967,6,35,0,4,8,8,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,11,43
1968,3,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0
1969,3,2,0,0,8,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0
1970,33,9,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,34,0
1971,6,0,3,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,1,0,0,17,0
